target_id,experiment,role,dataset,architecture,fm_kind,n_wires,reps,depth,ql_ent,ql_op,model_seed,data_seed,seed,structural_cell_id,attack_path,model_path,checkpoint_tensor_elements_total,checkpoint_tensor_elements_quantum_name,checkpoint_tensor_elements_classical_name,checkpoint_tensor_elements_unclassified_name,trainable_parameters_total,trainable_parameters_quantum,trainable_parameters_classical,trainable_parameters_unclassified,quantum_gate_count_total,quantum_one_qubit_gates,quantum_two_qubit_gates,gate_counts_json,gate_count_scope,qcnn_frontend_included,circuit_depth,parameter_count_method,gate_count_method,resource_count_source,exact_resource_counts_available,resource_error
SmokeFactorial_z_r5_d6_s44,multiseed_factorial,z_r5_d6,MNIST,qnn,z,6,5,6,linear,crz,44,43,44,z_r5_d6,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_z_r5_d6_s44/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_z_r5_d6_s44/target_model.pt,16,8,8,0,168,100,68,0,150,100,50,"{""cx"": 50, ""ry"": 50, ""rz"": 50}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
SmokeFactorial_z_r5_d6_s45,multiseed_factorial,z_r5_d6,MNIST,qnn,z,6,5,6,linear,crz,45,43,45,z_r5_d6,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_z_r5_d6_s45/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_z_r5_d6_s45/target_model.pt,16,8,8,0,168,100,68,0,150,100,50,"{""cx"": 50, ""ry"": 50, ""rz"": 50}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
SmokeFactorial_zz_r1_d2_s43,multiseed_factorial,zz_r1_d2,MNIST,qnn,zz,6,1,2,linear,crz,43,43,43,zz_r1_d2,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r1_d2_s43/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r1_d2_s43/target_model.pt,16,8,8,0,96,57,39,0,72,48,24,"{""cx"": 24, ""ry"": 24, ""rz"": 24}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
SmokeFactorial_zz_r1_d2_s44,multiseed_factorial,zz_r1_d2,MNIST,qnn,zz,6,1,2,linear,crz,44,43,44,zz_r1_d2,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r1_d2_s44/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r1_d2_s44/target_model.pt,16,8,8,0,96,57,39,0,72,48,24,"{""cx"": 24, ""ry"": 24, ""rz"": 24}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
SmokeFactorial_zz_r1_d2_s45,multiseed_factorial,zz_r1_d2,MNIST,qnn,zz,6,1,2,linear,crz,45,43,45,zz_r1_d2,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r1_d2_s45/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r1_d2_s45/target_model.pt,16,8,8,0,96,57,39,0,72,48,24,"{""cx"": 24, ""ry"": 24, ""rz"": 24}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
SmokeFactorial_zz_r1_d6_s43,multiseed_factorial,zz_r1_d6,MNIST,qnn,zz,6,1,6,linear,crz,43,43,43,zz_r1_d6,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r1_d6_s43/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r1_d6_s43/target_model.pt,16,8,8,0,168,100,68,0,112,74,38,"{""cx"": 38, ""ry"": 37, ""rz"": 37}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
SmokeFactorial_zz_r1_d6_s44,multiseed_factorial,zz_r1_d6,MNIST,qnn,zz,6,1,6,linear,crz,44,43,44,zz_r1_d6,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r1_d6_s44/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r1_d6_s44/target_model.pt,16,8,8,0,168,100,68,0,112,74,38,"{""cx"": 38, ""ry"": 37, ""rz"": 37}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
SmokeFactorial_zz_r1_d6_s45,multiseed_factorial,zz_r1_d6,MNIST,qnn,zz,6,1,6,linear,crz,45,43,45,zz_r1_d6,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r1_d6_s45/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r1_d6_s45/target_model.pt,16,8,8,0,168,100,68,0,112,74,38,"{""cx"": 38, ""ry"": 37, ""rz"": 37}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
SmokeFactorial_zz_r5_d2_s43,multiseed_factorial,zz_r5_d2,MNIST,qnn,zz,6,5,2,linear,crz,43,43,43,zz_r5_d2,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r5_d2_s43/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r5_d2_s43/target_model.pt,16,8,8,0,96,57,39,0,120,80,40,"{""cx"": 40, ""ry"": 40, ""rz"": 40}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
SmokeFactorial_zz_r5_d2_s44,multiseed_factorial,zz_r5_d2,MNIST,qnn,zz,6,5,2,linear,crz,44,43,44,zz_r5_d2,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r5_d2_s44/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r5_d2_s44/target_model.pt,16,8,8,0,96,57,39,0,120,80,40,"{""cx"": 40, ""ry"": 40, ""rz"": 40}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
SmokeFactorial_zz_r5_d2_s45,multiseed_factorial,zz_r5_d2,MNIST,qnn,zz,6,5,2,linear,crz,45,43,45,zz_r5_d2,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r5_d2_s45/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r5_d2_s45/target_model.pt,16,8,8,0,96,57,39,0,120,80,40,"{""cx"": 40, ""ry"": 40, ""rz"": 40}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
SmokeFactorial_zz_r5_d6_s43,multiseed_factorial,zz_r5_d6,MNIST,qnn,zz,6,5,6,linear,crz,43,43,43,zz_r5_d6,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r5_d6_s43/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r5_d6_s43/target_model.pt,16,8,8,0,168,100,68,0,160,106,54,"{""cx"": 54, ""ry"": 53, ""rz"": 53}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
SmokeFactorial_zz_r5_d6_s44,multiseed_factorial,zz_r5_d6,MNIST,qnn,zz,6,5,6,linear,crz,44,43,44,zz_r5_d6,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r5_d6_s44/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r5_d6_s44/target_model.pt,16,8,8,0,168,100,68,0,160,106,54,"{""cx"": 54, ""ry"": 53, ""rz"": 53}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
SmokeFactorial_zz_r5_d6_s45,multiseed_factorial,zz_r5_d6,MNIST,qnn,zz,6,5,6,linear,crz,45,43,45,zz_r5_d6,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r5_d6_s45/target_attack_data.pt,/home/najeeb/quarift_neurips_rebutal_2/reviewer_smoke/factorial_runs/multiseed_factorial/SmokeFactorial_zz_r5_d6_s45/target_model.pt,16,8,8,0,168,100,68,0,160,106,54,"{""cx"": 54, ""ry"": 53, ""rz"": 53}",fixed encoder plus downstream variational circuit,,,exact model.named_parameters count exported during target run,main-stack operation metadata exported during target run,attack payload resource_counts,True,
